Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Daniel Mayora	0	798	NaN	NaN	NaN	NaN	0.254	0
Shawn Pleffner	0	799	NaN	NaN	NaN	NaN	0.248	0
Caleb Gindl	0	800	NaN	NaN	NaN	NaN	0.232	0
Juan Silva	0	801	NaN	NaN	NaN	NaN	0.225	0
Preston Beck	0	802	NaN	NaN	NaN	NaN	0.236	0
Austin Dean	0	803	NaN	NaN	NaN	NaN	0.243	0
Kyle Garlick	0	804	NaN	NaN	NaN	NaN	0.229	0
Ryan Howard	5.833	805	1.029	2.571	3.257	0.171	0.215	35
Alen Hanson	2.667	806	0.375	2.625	2.25	1.125	0.243	16
Danny Worth	0	807	NaN	NaN	NaN	NaN	0.236	0
Erick Mejia	0	808	NaN	NaN	NaN	NaN	0.252	0
Nate Orf	0	809	NaN	NaN	NaN	NaN	0.239	0
Franklin Barreto	3.5	810	0.571	2.571	2.571	0.571	0.244	21
John Ryan Murphy	0.5	811	0	2	2	0	0.237	3
David Washington	0	812	NaN	NaN	NaN	NaN	0.214	0
Austin Romine	5.333	813	0.562	2.438	2.438	0.188	0.242	32
Ryan Flaherty	0	814	NaN	NaN	NaN	NaN	0.217	0
Jeff McVaney	0	815	NaN	NaN	NaN	NaN	0.233	0
Andrew Susac	2	816	0.5	2.5	2.5	0	0.215	12
Jerrick Suiter	0	817	NaN	NaN	NaN	NaN	0.243	0
Taylor Murphy	0	818	NaN	NaN	NaN	NaN	0.224	0
Rajai Davis	1.5	819	0.667	2.667	2.667	1.333	0.238	9
James Harris	0	820	NaN	NaN	NaN	NaN	0.241	0
Franmil Reyes	0	821	NaN	NaN	NaN	NaN	0.227	0
Drew Stubbs	0	822	NaN	NaN	NaN	NaN	0.215	0
Jonathan Davis	0	823	NaN	NaN	NaN	NaN	0.221	0
Yeison Asencio	0	824	NaN	NaN	NaN	NaN	0.257	0
Richie Shaffer	0	825	NaN	NaN	NaN	NaN	0.198	0
Teodoro Martinez	0	826	NaN	NaN	NaN	NaN	0.243	0
Kyle Wren	0	827	NaN	NaN	NaN	NaN	0.246	0
Brett Sullivan	0	828	NaN	NaN	NaN	NaN	0.252	0
Chris Gimenez	5.167	829	0.581	2.323	2.323	0.194	0.212	31
Juan Centeno	5.167	830	0.387	2.323	2.129	0.194	0.255	31
Taylor Ward	0	831	NaN	NaN	NaN	NaN	0.234	0
Dario Pizzano	0	832	NaN	NaN	NaN	NaN	0.236	0
Shane Robinson	0	833	NaN	NaN	NaN	NaN	0.249	0
Alex Jackson	0	834	NaN	NaN	NaN	NaN	0.228	0
Jamie Ritchie	0	835	NaN	NaN	NaN	NaN	0.225	0
Braden Bishop	0	836	NaN	NaN	NaN	NaN	0.249	0
Kyle Roller	0	837	NaN	NaN	NaN	NaN	0.213	0
Harold Riggins	0	838	NaN	NaN	NaN	NaN	0.222	0
Gavin Cecchini	1.667	839	0.6	1.8	1.8	0	0.247	10
Mauricio Dubon	0.833	840	0	2.4	2.4	1.2	0.252	5
Andy Wilkins	0	841	NaN	NaN	NaN	NaN	0.222	0
Jordy Lara	0	842	NaN	NaN	NaN	NaN	0.236	0
Luis Jean	0	843	NaN	NaN	NaN	NaN	0.263	0
Jose Martinez	0	844	NaN	NaN	NaN	NaN	0.252	0
Hunter Dozier	3.167	845	0.632	2.526	2.526	0.316	0.225	19
Thairo Estrada	1.333	846	0	2.25	2.25	0.75	0.257	8
Anthony Recker	0	847	NaN	NaN	NaN	NaN	0.216	0
Jarrod Saltalamacchia	0	848	NaN	NaN	NaN	NaN	0.198	0
Ryan Court	0	849	NaN	NaN	NaN	NaN	0.231	0
Nick Martini	0	850	NaN	NaN	NaN	NaN	0.234	0
Trayce Thompson	1.167	851	0.857	2.571	2.571	0	0.217	7
Luis Valenzuela	0	852	NaN	NaN	NaN	NaN	0.261	0
Nathan Lukes	0	853	NaN	NaN	NaN	NaN	0.247	0
Kevin Newman	0.5	854	0	2	2	0	0.26	3
Eric Haase	0.5	855	0	2	2	0	0.206	3
Ryan Cordell	5.667	856	0.706	2.471	2.471	0.529	0.229	34
Brent Rooker	0	857	NaN	NaN	NaN	NaN	0.221	0
Christian Bethancourt	0	858	NaN	NaN	NaN	NaN	0.238	0
Ronny Rodriguez	0	859	NaN	NaN	NaN	NaN	0.247	0
Martin Maldonado	14.667	860	0.682	2.455	2.455	0.205	0.223	88
